Country,Country code,Genre,Demographics (Age),%
日本,JPN,旅游,18-24,0.035
日本,JPN,旅游,25-34,0.269
日本,JPN,旅游,35-44,0.39
日本,JPN,旅游,45-54,0.163
日本,JPN,旅游,55+,0.143
日本,JPN,金融,18-24,0.098
日本,JPN,金融,25-34,0.304
日本,JPN,金融,35-44,0.311
日本,JPN,金融,45-54,0.163
日本,JPN,金融,55+,0.123
日本,JPN,娱乐,18-24,0.302
日本,JPN,娱乐,25-34,0.33
日本,JPN,娱乐,35-44,0.195
日本,JPN,娱乐,45-54,0.088
日本,JPN,娱乐,55+,0.084
日本,JPN,社交,18-24,0.285
日本,JPN,社交,25-34,0.336
日本,JPN,社交,35-44,0.195
日本,JPN,社交,45-54,0.1
日本,JPN,社交,55+,0.084
韩国,KOR,真金游戏,18-24,0.072
韩国,KOR,真金游戏,25-34,0.243
韩国,KOR,真金游戏,35-44,0.304
韩国,KOR,真金游戏,45-54,0.177
韩国,KOR,真金游戏,55+,0.204
韩国,KOR,电子商务,18-24,0.069
韩国,KOR,电子商务,25-34,0.172
韩国,KOR,电子商务,35-44,0.398
韩国,KOR,电子商务,45-54,0.267
韩国,KOR,电子商务,55+,0.094
韩国,KOR,按需服务,18-24,0.138
韩国,KOR,按需服务,25-34,0.372
韩国,KOR,按需服务,35-44,0.289
韩国,KOR,按需服务,45-54,0.175
韩国,KOR,按需服务,55+,0.025
韩国,KOR,旅游,18-24,0.019
韩国,KOR,旅游,25-34,0.19
韩国,KOR,旅游,35-44,0.552
韩国,KOR,旅游,45-54,0.192
韩国,KOR,旅游,55+,0.047
韩国,KOR,金融,18-24,0.115
韩国,KOR,金融,25-34,0.286
韩国,KOR,金融,35-44,0.256
韩国,KOR,金融,45-54,0.219
韩国,KOR,金融,55+,0.123
韩国,KOR,娱乐,18-24,0.26
韩国,KOR,娱乐,25-34,0.4
韩国,KOR,娱乐,35-44,0.189
韩国,KOR,娱乐,45-54,0.087
韩国,KOR,娱乐,55+,0.064
