Country,Country code,Genre,Growth,Position,Top Growing App
メキシコ,MEX,旅行,,1,Citymapper
メキシコ,MEX,ファイナンス,,1,Yahoo Finance
メキシコ,MEX,エンターテインメント,,1,Musi
メキシコ,MEX,ソーシャル,,1,BBC
アメリカ合衆国,USA,RMG,,1,ESPN
アメリカ合衆国,USA,Eコマース,,1,OfferUp
アメリカ合衆国,USA,オンデマンド,,1,Vivino
アメリカ合衆国,USA,旅行,,1,Citymapper
アメリカ合衆国,USA,ファイナンス,,1,Zynga Poker
アメリカ合衆国,USA,エンターテインメント,,1,Musi
アメリカ合衆国,USA,ソーシャル,,1,BBC
ベトナム,VNM,RMG,,1,ESPN
ベトナム,VNM,Eコマース,,1,OfferUp
ベトナム,VNM,オンデマンド,,1,Vivino
ベトナム,VNM,旅行,,1,Citymapper
ベトナム,VNM,ファイナンス,,1,Citymapper
ベトナム,VNM,エンターテインメント,,1,Musi
ベトナム,VNM,ソーシャル,,1,The Weather Channel
オーストラリア,AUS,RMG,,2,Zynga Poker
オーストラリア,AUS,Eコマース,,2,Zynga Poker
オーストラリア,AUS,オンデマンド,,2,Vivino
オーストラリア,AUS,旅行,,2,MyFitnessPal
オーストラリア,AUS,ファイナンス,,2,BBC
オーストラリア,AUS,エンターテインメント,,2,Tinder
オーストラリア,AUS,ソーシャル,,2,X
ブラジル,BRA,RMG,,2,Zynga Poker
ブラジル,BRA,Eコマース,,2,Zynga Poker
ブラジル,BRA,オンデマンド,,2,Vivino
ブラジル,BRA,旅行,,2,Citymapper
ブラジル,BRA,ファイナンス,,2,Zynga Poker
ブラジル,BRA,エンターテインメント,,2,BBC
ブラジル,BRA,ソーシャル,,2,X
カナダ,CAN,RMG,,2,Zynga Poker
カナダ,CAN,Eコマース,,2,Vivino
カナダ,CAN,オンデマンド,,2,Zynga Poker
カナダ,CAN,旅行,,2,Zynga Poker
カナダ,CAN,ファイナンス,,2,Goodreads
カナダ,CAN,エンターテインメント,,2,MyFitnessPal
カナダ,CAN,ソーシャル,,2,X
ドイツ,DEU,RMG,,2,Vivino
ドイツ,DEU,Eコマース,,2,Vivino
ドイツ,DEU,オンデマンド,,2,Vivino
ドイツ,DEU,旅行,,2,Yahoo Finance
ドイツ,DEU,ファイナンス,,2,The Weather Channel
ドイツ,DEU,エンターテインメント,,2,Vivino
ドイツ,DEU,ソーシャル,,2,BBC
フランス,FRA,RMG,,2,ESPN
フランス,FRA,Eコマース,,2,Vivino
フランス,FRA,オンデマンド,,2,Zynga Poker
フランス,FRA,旅行,,2,Vivino
フランス,FRA,ファイナンス,,2,Zynga Poker
フランス,FRA,エンターテインメント,,2,Tinder
フランス,FRA,ソーシャル,,2,X
イギリス,GBR,RMG,,2,ESPN
イギリス,GBR,Eコマース,,2,Vivino
イギリス,GBR,オンデマンド,,2,OfferUp
イギリス,GBR,旅行,,2,MyFitnessPal
イギリス,GBR,ファイナンス,,2,Zynga Poker
イギリス,GBR,エンターテインメント,,2,Duolingo
イギリス,GBR,ソーシャル,,2,X
インドネシア,IDN,RMG,,2,Zynga Poker
インドネシア,IDN,Eコマース,,2,MyFitnessPal
インドネシア,IDN,オンデマンド,,2,Citymapper
インドネシア,IDN,旅行,,2,The Weather Channel
インドネシア,IDN,ファイナンス,,2,Citymapper
インドネシア,IDN,エンターテインメント,,2,Musi
インドネシア,IDN,ソーシャル,,2,ESPN
インド,IND,RMG,,2,Roku
インド,IND,Eコマース,,2,Vivino
インド,IND,オンデマンド,,2,OfferUp
インド,IND,旅行,,2,Vivino
インド,IND,ファイナンス,,2,The Weather Channel
インド,IND,エンターテインメント,,2,Tinder
インド,IND,ソーシャル,,2,X
日本,JPN,RMG,,2,Zynga Poker
日本,JPN,Eコマース,,2,Tinder
日本,JPN,オンデマンド,,2,Yahoo Finance
日本,JPN,旅行,,2,Yahoo Finance
日本,JPN,ファイナンス,,2,Citymapper
日本,JPN,エンターテインメント,,2,Duolingo
日本,JPN,ソーシャル,,2,Roku
韓国,KOR,RMG,,2,ESPN
韓国,KOR,Eコマース,,2,Tinder
韓国,KOR,オンデマンド,,2,Yahoo Finance
韓国,KOR,旅行,,2,ESPN
韓国,KOR,ファイナンス,,2,MyFitnessPal
韓国,KOR,エンターテインメント,,2,MyFitnessPal
韓国,KOR,ソーシャル,,2,Roku
メキシコ,MEX,RMG,,2,ESPN
メキシコ,MEX,Eコマース,,2,MyFitnessPal
メキシコ,MEX,オンデマンド,,2,MyFitnessPal
メキシコ,MEX,旅行,,2,The Weather Channel
メキシコ,MEX,ファイナンス,,2,Zynga Poker
メキシコ,MEX,エンターテインメント,,2,Zynga Poker
メキシコ,MEX,ソーシャル,,2,X
アメリカ合衆国,USA,RMG,,2,Zynga Poker
アメリカ合衆国,USA,Eコマース,,2,Zynga Poker
アメリカ合衆国,USA,オンデマンド,,2,Zynga Poker
アメリカ合衆国,USA,旅行,,2,Zynga Poker
アメリカ合衆国,USA,ファイナンス,,2,Yahoo Finance
アメリカ合衆国,USA,エンターテインメント,,2,The Weather Channel
アメリカ合衆国,USA,ソーシャル,,2,Vivino
ベトナム,VNM,RMG,,2,Zynga Poker
ベトナム,VNM,Eコマース,,2,Vivino
ベトナム,VNM,オンデマンド,,2,ESPN
ベトナム,VNM,旅行,,2,ESPN
ベトナム,VNM,ファイナンス,,2,MyFitnessPal
ベトナム,VNM,エンターテインメント,,2,MyFitnessPal
ベトナム,VNM,ソーシャル,,2,X
オーストラリア,AUS,RMG,,3,Yahoo Finance
オーストラリア,AUS,Eコマース,,3,MyFitnessPal
オーストラリア,AUS,オンデマンド,,3,Block Blast!
オーストラリア,AUS,旅行,,3,The Weather Channel
オーストラリア,AUS,ファイナンス,,3,Goodreads
オーストラリア,AUS,エンターテインメント,,3,Vivino
オーストラリア,AUS,ソーシャル,,3,Block Blast!
ブラジル,BRA,RMG,,3,The Weather Channel
ブラジル,BRA,Eコマース,,3,Vivino
ブラジル,BRA,オンデマンド,,3,MyFitnessPal
ブラジル,BRA,旅行,,3,Vivino
ブラジル,BRA,ファイナンス,,3,ESPN
ブラジル,BRA,エンターテインメント,,3,Tinder
ブラジル,BRA,ソーシャル,,3,Alarmy
カナダ,CAN,RMG,,3,Yahoo Finance
カナダ,CAN,Eコマース,,3,Tinder
カナダ,CAN,オンデマンド,,3,MyFitnessPal
カナダ,CAN,旅行,,3,MyFitnessPal
カナダ,CAN,ファイナンス,,3,Yahoo Finance
カナダ,CAN,エンターテインメント,,3,Tinder
