Country,Country code,Category,Share,2024 vs. 2023 Growth,App - full name
인도네시아,IDN,스포츠,0.00,0.09,
인도네시아,IDN,유틸리티 및 생산성,0.03,0.17,
인도,IND,도서 및 참고자료,0.01,0.10,
인도,IND,교육,0.02,0.29,
인도,IND,엔터테인먼트,0.17,-0.14,
인도,IND,금융,0.04,0.26,
인도,IND,게임,0.34,0.11,
인도,IND,생성형 AI,0.00,6.69,
인도,IND,건강 및 피트니스,0.00,0.17,
인도,IND,뉴스,0.02,0.24,
인도,IND,기타,0.07,0.11,
인도,IND,쇼핑,0.04,0.12,
인도,IND,소셜 미디어,0.18,0.17,
인도,IND,스포츠,0.02,-0.05,
인도,IND,유틸리티 및 생산성,0.11,0.05,
일본,JPN,도서 및 참고자료,0.04,-0.11,
일본,JPN,교육,0.00,0.10,
일본,JPN,엔터테인먼트,0.04,-0.01,
일본,JPN,금융,0.01,0.14,
일본,JPN,게임,0.31,0.07,
일본,JPN,생성형 AI,0.00,2.87,
일본,JPN,건강 및 피트니스,0.00,0.07,
일본,JPN,뉴스,0.06,-0.05,
일본,JPN,기타,0.03,0.03,
일본,JPN,쇼핑,0.02,0.07,
일본,JPN,소셜 미디어,0.43,-0.04,
일본,JPN,스포츠,0.01,0.08,
일본,JPN,유틸리티 및 생산성,0.03,0.02,
대한민국,KOR,도서 및 참고자료,0.03,-0.15,
대한민국,KOR,교육,0.02,0.05,
대한민국,KOR,엔터테인먼트,0.07,-0.05,
대한민국,KOR,금융,0.05,0.20,
대한민국,KOR,게임,0.26,-0.02,
대한민국,KOR,생성형 AI,0.00,4.66,
대한민국,KOR,건강 및 피트니스,0.03,0.00,
대한민국,KOR,뉴스,0.00,0.21,
대한민국,KOR,기타,0.05,-0.04,
대한민국,KOR,쇼핑,0.04,0.05,
대한민국,KOR,소셜 미디어,0.39,-0.10,
대한민국,KOR,스포츠,0.00,-0.24,
대한민국,KOR,유틸리티 및 생산성,0.05,-0.01,
멕시코,MEX,도서 및 참고자료,0.02,-0.13,
멕시코,MEX,교육,0.01,0.17,
멕시코,MEX,엔터테인먼트,0.11,0.08,
멕시코,MEX,금융,0.01,0.21,
멕시코,MEX,게임,0.64,0.07,
멕시코,MEX,생성형 AI,0.01,4.05,
멕시코,MEX,건강 및 피트니스,0.00,0.24,
멕시코,MEX,뉴스,0.00,1.30,
멕시코,MEX,기타,0.04,0.17,
멕시코,MEX,쇼핑,0.02,0.30,
멕시코,MEX,소셜 미디어,0.10,0.05,
멕시코,MEX,스포츠,0.00,0.12,
멕시코,MEX,유틸리티 및 생산성,0.03,0.03,
미국,USA,도서 및 참고자료,0.02,-0.05,
미국,USA,교육,0.01,0.05,
미국,USA,엔터테인먼트,0.11,-0.02,
미국,USA,금융,0.01,0.05,
미국,USA,게임,0.39,0.04,
미국,USA,생성형 AI,0.02,2.44,
미국,USA,건강 및 피트니스,0.01,0.09,
미국,USA,뉴스,0.01,-0.05,
미국,USA,기타,0.07,0.00,
미국,USA,쇼핑,0.03,-0.02,
미국,USA,소셜 미디어,0.27,-0.06,
미국,USA,스포츠,0.01,-0.01,
미국,USA,유틸리티 및 생산성,0.04,-0.03,
