Country,Country code,year,category,category2,revenue
모든 국가,All countries,2022,내비게이션,비게임,293711072.5
모든 국가,All countries,2018,음악 및 오디오,비게임,291676688.6
모든 국가,All countries,2021,그래픽 및 디자인,비게임,290402962.8
모든 국가,All countries,2024,사진,비게임,281380232.3
모든 국가,All countries,2017,커뮤니케이션,비게임,274819547.1
모든 국가,All countries,2024,참고,비게임,273291458.3
모든 국가,All countries,2017,데이트,비게임,270829907.3
모든 국가,All countries,2021,도구,비게임,269450130.2
모든 국가,All countries,2016,건강 및 피트니스,비게임,268170816.6
모든 국가,All countries,2022,도구,비게임,266350848.6
모든 국가,All countries,2016,생산성,비게임,265046884.9
모든 국가,All countries,2014,엔터테인먼트,비게임,263922048.9
모든 국가,All countries,2016,커뮤니케이션,비게임,263203882.8
모든 국가,All countries,2024,날씨,비게임,259032002.4
모든 국가,All countries,2021,내비게이션,비게임,254553628.5
모든 국가,All countries,2015,라이프스타일,비게임,250986675
모든 국가,All countries,2014,교육,비게임,249096908.7
모든 국가,All countries,2016,도서,비게임,248804020.6
모든 국가,All countries,2023,사진,비게임,245478018.3
모든 국가,All countries,2015,커뮤니케이션,비게임,230181706.3
모든 국가,All countries,2016,사진 및 비디오,비게임,227067183.3
모든 국가,All countries,2019,뉴스,비게임,225652411.1
모든 국가,All countries,2015,생산성,비게임,223404298
모든 국가,All countries,2023,날씨,비게임,221582636.2
모든 국가,All countries,2019,만화,비게임,216982130.6
모든 국가,All countries,2022,동영상 플레이어 및 편집,비게임,211318753.3
모든 국가,All countries,2020,도구,비게임,211060322.2
모든 국가,All countries,2023,참고,비게임,206860931.2
모든 국가,All countries,2014,생산성,비게임,206010630.3
모든 국가,All countries,2017,비즈니스,비게임,204727752.3
모든 국가,All countries,2020,금융,비게임,203454784.8
모든 국가,All countries,2023,쇼핑,비게임,202800310.1
모든 국가,All countries,2017,스포츠,비게임,199381656.8
모든 국가,All countries,2017,유틸리티,비게임,196736359.6
모든 국가,All countries,2017,음악 및 오디오,비게임,191384703.7
모든 국가,All countries,2014,뉴스,비게임,190368564.7
모든 국가,All countries,2022,사진,비게임,187493164
