Country,Country code,Genre,Demographics (Age),%
인도네시아,IDN,이커머스,25-34세,0.41
인도네시아,IDN,이커머스,35-44세,0.357
인도네시아,IDN,이커머스,45-54세,0.077
인도네시아,IDN,이커머스,55세 이상,0.016
인도네시아,IDN,주문형,18-24세,0.309
인도네시아,IDN,주문형,25-34세,0.397
인도네시아,IDN,주문형,35-44세,0.247
인도네시아,IDN,주문형,45-54세,0.037
인도네시아,IDN,주문형,55세 이상,0.01
인도네시아,IDN,여행,18-24세,0.145
인도네시아,IDN,여행,25-34세,0.41
인도네시아,IDN,여행,35-44세,0.302
인도네시아,IDN,여행,45-54세,0.112
인도네시아,IDN,여행,55세 이상,0.031
인도네시아,IDN,금융,18-24세,0.079
인도네시아,IDN,금융,25-34세,0.427
인도네시아,IDN,금융,35-44세,0.38
인도네시아,IDN,금융,45-54세,0.111
인도네시아,IDN,금융,55세 이상,0.003
인도네시아,IDN,엔터테인먼트,18-24세,0.402
인도네시아,IDN,엔터테인먼트,25-34세,0.394
인도네시아,IDN,엔터테인먼트,35-44세,0.121
인도네시아,IDN,엔터테인먼트,45-54세,0.071
인도네시아,IDN,엔터테인먼트,55세 이상,0.013
인도네시아,IDN,소셜,18-24세,0.365
인도네시아,IDN,소셜,25-34세,0.395
인도네시아,IDN,소셜,35-44세,0.151
인도네시아,IDN,소셜,45-54세,0.065
인도네시아,IDN,소셜,55세 이상,0.024
인도,IND,RMG,18-24세,0.245
인도,IND,RMG,25-34세,0.462
인도,IND,RMG,35-44세,0.243
인도,IND,RMG,45-54세,0.045
인도,IND,RMG,55세 이상,0.006
인도,IND,이커머스,18-24세,0.208
인도,IND,이커머스,25-34세,0.431
인도,IND,이커머스,35-44세,0.285
인도,IND,이커머스,45-54세,0.065
인도,IND,이커머스,55세 이상,0.01
인도,IND,주문형,18-24세,0.42
인도,IND,주문형,25-34세,0.366
인도,IND,주문형,35-44세,0.17
인도,IND,주문형,45-54세,0.04
인도,IND,주문형,55세 이상,0.005
인도,IND,여행,18-24세,0.191
인도,IND,여행,25-34세,0.51
인도,IND,여행,35-44세,0.237
인도,IND,여행,45-54세,0.053
인도,IND,여행,55세 이상,0.008
인도,IND,금융,18-24세,0.081
인도,IND,금융,25-34세,0.509
인도,IND,금융,35-44세,0.328
인도,IND,금융,45-54세,0.082
인도,IND,금융,55세 이상,0.001
인도,IND,엔터테인먼트,18-24세,0.488
인도,IND,엔터테인먼트,25-34세,0.346
인도,IND,엔터테인먼트,35-44세,0.126
인도,IND,엔터테인먼트,45-54세,0.032
인도,IND,엔터테인먼트,55세 이상,0.007
인도,IND,소셜,18-24세,0.478
인도,IND,소셜,25-34세,0.365
인도,IND,소셜,35-44세,0.112
인도,IND,소셜,45-54세,0.034
인도,IND,소셜,55세 이상,0.011
일본,JPN,RMG,18-24세,0.065
일본,JPN,RMG,25-34세,0.222
일본,JPN,RMG,35-44세,0.214
일본,JPN,RMG,45-54세,0.163
일본,JPN,RMG,55세 이상,0.335
일본,JPN,이커머스,18-24세,0.059
일본,JPN,이커머스,25-34세,0.173
일본,JPN,이커머스,35-44세,0.379
일본,JPN,이커머스,45-54세,0.215
일본,JPN,이커머스,55세 이상,0.175
일본,JPN,주문형,18-24세,0.114
일본,JPN,주문형,25-34세,0.292
일본,JPN,주문형,35-44세,0.364
일본,JPN,주문형,45-54세,0.154
일본,JPN,주문형,55세 이상,0.077
일본,JPN,여행,18-24세,0.035
일본,JPN,여행,25-34세,0.269
일본,JPN,여행,35-44세,0.39
일본,JPN,여행,45-54세,0.163
일본,JPN,여행,55세 이상,0.143
일본,JPN,금융,18-24세,0.098
일본,JPN,금융,25-34세,0.304
일본,JPN,금융,35-44세,0.311
일본,JPN,금융,45-54세,0.163
일본,JPN,금융,55세 이상,0.123
일본,JPN,엔터테인먼트,18-24세,0.302
일본,JPN,엔터테인먼트,25-34세,0.33
일본,JPN,엔터테인먼트,35-44세,0.195
일본,JPN,엔터테인먼트,45-54세,0.088
일본,JPN,엔터테인먼트,55세 이상,0.084
일본,JPN,소셜,18-24세,0.285
일본,JPN,소셜,25-34세,0.336
일본,JPN,소셜,35-44세,0.195
일본,JPN,소셜,45-54세,0.1
일본,JPN,소셜,55세 이상,0.084
대한민국,KOR,RMG,18-24세,0.072
대한민국,KOR,RMG,25-34세,0.243
대한민국,KOR,RMG,35-44세,0.304
대한민국,KOR,RMG,45-54세,0.177
대한민국,KOR,RMG,55세 이상,0.204
대한민국,KOR,이커머스,18-24세,0.069
대한민국,KOR,이커머스,25-34세,0.172
대한민국,KOR,이커머스,35-44세,0.398
대한민국,KOR,이커머스,45-54세,0.267
대한민국,KOR,이커머스,55세 이상,0.094
대한민국,KOR,주문형,18-24세,0.138
대한민국,KOR,주문형,25-34세,0.372
대한민국,KOR,주문형,35-44세,0.289
대한민국,KOR,주문형,45-54세,0.175
대한민국,KOR,주문형,55세 이상,0.025
대한민국,KOR,여행,18-24세,0.019
대한민국,KOR,여행,25-34세,0.19
대한민국,KOR,여행,35-44세,0.552
대한민국,KOR,여행,45-54세,0.192
대한민국,KOR,여행,55세 이상,0.047
대한민국,KOR,금융,18-24세,0.115
대한민국,KOR,금융,25-34세,0.286
대한민국,KOR,금융,35-44세,0.256
대한민국,KOR,금융,45-54세,0.219
대한민국,KOR,금융,55세 이상,0.123
대한민국,KOR,엔터테인먼트,18-24세,0.26
대한민국,KOR,엔터테인먼트,25-34세,0.4
대한민국,KOR,엔터테인먼트,35-44세,0.189
대한민국,KOR,엔터테인먼트,45-54세,0.087
대한민국,KOR,엔터테인먼트,55세 이상,0.064
대한민국,KOR,소셜,18-24세,0.215
대한민국,KOR,소셜,25-34세,0.338
대한민국,KOR,소셜,35-44세,0.223
대한민국,KOR,소셜,45-54세,0.133
대한민국,KOR,소셜,55세 이상,0.09
멕시코,MEX,RMG,18-24세,0.218
멕시코,MEX,RMG,25-34세,0.446
멕시코,MEX,RMG,35-44세,0.226
멕시코,MEX,RMG,45-54세,0.088
멕시코,MEX,RMG,55세 이상,0.022
멕시코,MEX,이커머스,18-24세,0.158
멕시코,MEX,이커머스,25-34세,0.39
멕시코,MEX,이커머스,35-44세,0.292
멕시코,MEX,이커머스,45-54세,0.128
멕시코,MEX,이커머스,55세 이상,0.032
멕시코,MEX,주문형,18-24세,0.26
멕시코,MEX,주문형,25-34세,0.415
멕시코,MEX,주문형,35-44세,0.219
멕시코,MEX,주문형,45-54세,0.098
멕시코,MEX,주문형,55세 이상,0.008
멕시코,MEX,여행,18-24세,0.048
멕시코,MEX,여행,25-34세,0.402
멕시코,MEX,여행,35-44세,0.362
멕시코,MEX,여행,45-54세,0.137
멕시코,MEX,여행,55세 이상,0.051
멕시코,MEX,금융,18-24세,0.233
멕시코,MEX,금융,25-34세,0.456
멕시코,MEX,금융,35-44세,0.211
멕시코,MEX,금융,45-54세,0.075
멕시코,MEX,금융,55세 이상,0.026
멕시코,MEX,엔터테인먼트,18-24세,0.45
멕시코,MEX,엔터테인먼트,25-34세,0.332
멕시코,MEX,엔터테인먼트,35-44세,0.11
멕시코,MEX,엔터테인먼트,45-54세,0.075
멕시코,MEX,엔터테인먼트,55세 이상,0.033
멕시코,MEX,소셜,18-24세,0.394
멕시코,MEX,소셜,25-34세,0.39
멕시코,MEX,소셜,35-44세,0.141
멕시코,MEX,소셜,45-54세,0.054
멕시코,MEX,소셜,55세 이상,0.022
미국,USA,RMG,18-24세,0.135
미국,USA,RMG,25-34세,0.352
미국,USA,RMG,35-44세,0.281
미국,USA,RMG,45-54세,0.13
