Country,Country code,Genre,Top subcat for time spent,%
Japan,JPN,Social,News,317
South Korea,KOR,RMG,Weather,1126
South Korea,KOR,E-Commerce,Shopping,1627
South Korea,KOR,On Demand,Food & Drink,447
South Korea,KOR,Travel,Travel,417
South Korea,KOR,Finance,Finance,1496
South Korea,KOR,Entertainment,Music,1858
South Korea,KOR,Social,News,524
Mexico,MEX,RMG,Casino Games,8662
Mexico,MEX,E-Commerce,Shopping,1781
Mexico,MEX,On Demand,Food & Drink,846
Mexico,MEX,Travel,Travel,1410
Mexico,MEX,Finance,Finance,612
Mexico,MEX,Entertainment,Music,460
Mexico,MEX,Social,News,597
U.S.,USA,RMG,Sports,2232
U.S.,USA,E-Commerce,Shopping,1639
U.S.,USA,On Demand,Food & Drink,740
U.S.,USA,Travel,Travel,855
U.S.,USA,Finance,Casino Games,498
U.S.,USA,Entertainment,Music,641
U.S.,USA,Social,News,299
Vietnam,VNM,RMG,Sports,847
Vietnam,VNM,E-Commerce,Shopping,2085
Vietnam,VNM,On Demand,Food & Drink,940
Vietnam,VNM,Travel,Travel,1105
Vietnam,VNM,Finance,Travel,726
Vietnam,VNM,Entertainment,Music,1190
Vietnam,VNM,Social,Weather,350
Australia,AUS,RMG,Casino Games,625
Australia,AUS,E-Commerce,Casino Games,760
Australia,AUS,On Demand,Food & Drink,790
Australia,AUS,Travel,Medical,156
Australia,AUS,Finance,News,144
Australia,AUS,Entertainment,Lifestyle,112
Australia,AUS,Social,Social Media,243
Brazil,BRA,RMG,Casino Games,1182
Brazil,BRA,E-Commerce,Casino Games,555
Brazil,BRA,On Demand,Food & Drink,405
Brazil,BRA,Travel,Travel,1393
Brazil,BRA,Finance,Casino Games,340
Brazil,BRA,Entertainment,News,105
Brazil,BRA,Social,Social Media,211
Canada,CAN,RMG,Casino Games,1600
Canada,CAN,E-Commerce,Food & Drink,301
Canada,CAN,On Demand,Casino Games,391
Canada,CAN,Travel,Casino Games,259
Canada,CAN,Finance,Books,58
Canada,CAN,Entertainment,Medical,129
Canada,CAN,Social,Social Media,244
Germany,DEU,RMG,Games / Casino,691
Germany,DEU,E-Commerce,Food & Drink,294
Germany,DEU,On Demand,Food & Drink,323
Germany,DEU,Travel,Finance,124
Germany,DEU,Finance,Weather,202
Germany,DEU,Entertainment,Graphics & Design,239
Germany,DEU,Social,News,375
France,FRA,RMG,Sports,2355
France,FRA,E-Commerce,Food & Drink,292
France,FRA,On Demand,Casino Games,501
France,FRA,Travel,Food & Drink,179
France,FRA,Finance,Casino Games,491
France,FRA,Entertainment,Lifestyle,112
France,FRA,Social,Social Media,359
U.K.,GBR,RMG,Sports,1659
U.K.,GBR,E-Commerce,Food & Drink,304
U.K.,GBR,On Demand,Shopping,155
U.K.,GBR,Travel,Medical,198
U.K.,GBR,Finance,Casino Games,379
U.K.,GBR,Entertainment,Education,155
U.K.,GBR,Social,Social Media,277
Indonesia,IDN,RMG,Casino Games,433
Indonesia,IDN,E-Commerce,Medical,204
Indonesia,IDN,On Demand,Travel,306
Indonesia,IDN,Travel,Weather,227
Indonesia,IDN,Finance,Travel,359
Indonesia,IDN,Entertainment,Music,780
Indonesia,IDN,Social,Sports,218
India,IND,RMG,Entertainment,196
India,IND,E-Commerce,Food & Drink,273
India,IND,On Demand,Shopping,107
India,IND,Travel,Food & Drink,202
