Country,Country code,Quarter,Year,Category,Revenue
U.S.,USA,2016-Q3,2016,Non-Gaming,"609,639,948.69"
Vietnam,VNM,2016-Q3,2016,Non-Gaming,"1,308,950.32"
Germany,DEU,2017-Q4,2017,Non-Gaming,"70,708,331.22"
Australia,AUS,2018-Q1,2018,Non-Gaming,"83,366,970.85"
Australia,AUS,2018-Q2,2018,Non-Gaming,"85,614,032.69"
U.K.,GBR,2018-Q2,2018,Non-Gaming,"154,662,067.79"
U.S.,USA,2018-Q4,2018,Non-Gaming,"1,698,118,655.52"
U.K.,GBR,2019-Q2,2019,Non-Gaming,"202,808,696.52"
U.S.,USA,2019-Q2,2019,Non-Gaming,"1,942,548,393.23"
Australia,AUS,2019-Q3,2019,Non-Gaming,"112,238,534.66"
Japan,JPN,2015-Q1,2015,Non-Gaming,"172,504,716.55"
France,FRA,2015-Q3,2015,Non-Gaming,"31,604,277.78"
India,IND,2015-Q3,2015,Non-Gaming,"3,839,975.37"
Japan,JPN,2015-Q4,2015,Non-Gaming,"197,243,278.84"
Mexico,MEX,2015-Q4,2015,Non-Gaming,"10,666,922.82"
Brazil,BRA,2016-Q1,2016,Non-Gaming,"19,475,415.27"
Canada,CAN,2016-Q1,2016,Non-Gaming,"31,282,808.83"
Indonesia,IDN,2016-Q1,2016,Non-Gaming,"4,297,215.40"
India,IND,2016-Q1,2016,Non-Gaming,"5,304,482.81"
Brazil,BRA,2016-Q2,2016,Non-Gaming,"22,234,065.64"
Vietnam,VNM,2016-Q2,2016,Non-Gaming,"1,149,641.20"
Brazil,BRA,2016-Q3,2016,Non-Gaming,"23,191,914.07"
Canada,CAN,2016-Q3,2016,Non-Gaming,"38,740,739.64"
France,FRA,2016-Q3,2016,Non-Gaming,"40,980,125.73"
Indonesia,IDN,2016-Q3,2016,Non-Gaming,"8,289,544.04"
India,IND,2016-Q3,2016,Non-Gaming,"8,412,145.84"
Japan,JPN,2016-Q3,2016,Non-Gaming,"254,513,270.04"
Australia,AUS,2016-Q4,2016,Non-Gaming,"47,430,524.71"
Brazil,BRA,2016-Q4,2016,Non-Gaming,"23,536,742.69"
Canada,CAN,2016-Q4,2016,Non-Gaming,"39,626,658.17"
Germany,DEU,2016-Q4,2016,Non-Gaming,"44,437,540.34"
France,FRA,2016-Q4,2016,Non-Gaming,"40,485,562.63"
U.K.,GBR,2016-Q4,2016,Non-Gaming,"75,147,779.24"
Indonesia,IDN,2016-Q4,2016,Non-Gaming,"11,005,574.25"
India,IND,2016-Q4,2016,Non-Gaming,"9,936,026.50"
Japan,JPN,2016-Q4,2016,Non-Gaming,"260,658,384.90"
South Korea,KOR,2016-Q4,2016,Non-Gaming,"68,924,847.46"
Mexico,MEX,2016-Q4,2016,Non-Gaming,"15,489,452.62"
U.S.,USA,2016-Q4,2016,Non-Gaming,"624,011,962.12"
Vietnam,VNM,2016-Q4,2016,Non-Gaming,"1,382,263.67"
Australia,AUS,2017-Q1,2017,Non-Gaming,"52,271,232.10"
Brazil,BRA,2017-Q1,2017,Non-Gaming,"29,337,739.89"
Canada,CAN,2017-Q1,2017,Non-Gaming,"43,524,853.28"
Germany,DEU,2017-Q1,2017,Non-Gaming,"49,882,609.72"
France,FRA,2017-Q1,2017,Non-Gaming,"43,957,026.32"
U.K.,GBR,2017-Q1,2017,Non-Gaming,"80,456,669.98"
Indonesia,IDN,2017-Q1,2017,Non-Gaming,"17,736,746.26"
India,IND,2017-Q1,2017,Non-Gaming,"13,539,456.85"
Japan,JPN,2017-Q1,2017,Non-Gaming,"282,640,917.17"
South Korea,KOR,2017-Q1,2017,Non-Gaming,"73,094,972.70"
Mexico,MEX,2017-Q1,2017,Non-Gaming,"17,012,426.27"
U.S.,USA,2017-Q1,2017,Non-Gaming,"737,874,946.00"
Vietnam,VNM,2017-Q1,2017,Non-Gaming,"1,806,616.60"
Australia,AUS,2017-Q2,2017,Non-Gaming,"53,248,315.19"
Brazil,BRA,2017-Q2,2017,Non-Gaming,"33,285,862.95"
Canada,CAN,2017-Q2,2017,Non-Gaming,"46,371,156.91"
Germany,DEU,2017-Q2,2017,Non-Gaming,"53,353,581.62"
France,FRA,2017-Q2,2017,Non-Gaming,"46,829,163.52"
U.K.,GBR,2017-Q2,2017,Non-Gaming,"88,226,712.91"
Indonesia,IDN,2017-Q2,2017,Non-Gaming,"12,100,910.01"
India,IND,2017-Q2,2017,Non-Gaming,"16,412,430.02"
Japan,JPN,2017-Q2,2017,Non-Gaming,"286,291,299.04"
South Korea,KOR,2017-Q2,2017,Non-Gaming,"82,522,682.93"
Mexico,MEX,2017-Q2,2017,Non-Gaming,"19,635,367.48"
U.S.,USA,2017-Q2,2017,Non-Gaming,"819,055,929.69"
Vietnam,VNM,2017-Q2,2017,Non-Gaming,"2,350,714.20"
Australia,AUS,2017-Q3,2017,Non-Gaming,"62,103,126.45"
Brazil,BRA,2017-Q3,2017,Non-Gaming,"37,900,168.09"
Canada,CAN,2017-Q3,2017,Non-Gaming,"58,683,325.74"
Germany,DEU,2017-Q3,2017,Non-Gaming,"64,958,478.65"
France,FRA,2017-Q3,2017,Non-Gaming,"58,149,549.81"
U.K.,GBR,2017-Q3,2017,Non-Gaming,"104,661,947.52"
Indonesia,IDN,2017-Q3,2017,Non-Gaming,"11,032,875.49"
