Country,Country code,Category,hour_of_day,value
澳大利亚,AUS,旅游,6,-0.0554
澳大利亚,AUS,旅行与导航,6,
澳大利亚,AUS,实用与效率,6,0.8592
澳大利亚,AUS,天气,6,
澳大利亚,AUS,艺术与设计,7,
澳大利亚,AUS,汽车,7,
澳大利亚,AUS,图书与工具书,7,-0.1438
澳大利亚,AUS,商业,7,
澳大利亚,AUS,教育,7,0.0098
澳大利亚,AUS,娱乐,7,0.2979
澳大利亚,AUS,家庭与关系,7,
澳大利亚,AUS,金融,7,
澳大利亚,AUS,美食佳饮,7,
澳大利亚,AUS,生成式 AI,7,-0.6594
澳大利亚,AUS,图形与设计,7,
澳大利亚,AUS,健康与健身,7,0.0571
澳大利亚,AUS,生活方式,7,
澳大利亚,AUS,医疗,7,
澳大利亚,AUS,音乐,7,
澳大利亚,AUS,新闻与杂志,7,
澳大利亚,AUS,照片和视频,7,-1.0891
澳大利亚,AUS,生产力工具,7,
澳大利亚,AUS,房地产,7,
澳大利亚,AUS,真金游戏,7,
澳大利亚,AUS,购物,7,-0.431
澳大利亚,AUS,社交,7,
澳大利亚,AUS,社交媒体,7,-0.25
澳大利亚,AUS,体育,7,0.8676
澳大利亚,AUS,工具,7,
澳大利亚,AUS,旅游,7,0.6277
澳大利亚,AUS,旅行与导航,7,
澳大利亚,AUS,实用与效率,7,1.5462
澳大利亚,AUS,天气,7,
澳大利亚,AUS,艺术与设计,8,
澳大利亚,AUS,汽车,8,
澳大利亚,AUS,图书与工具书,8,0.3003
澳大利亚,AUS,商业,8,
澳大利亚,AUS,教育,8,0.1089
澳大利亚,AUS,娱乐,8,0.8189
澳大利亚,AUS,家庭与关系,8,
澳大利亚,AUS,金融,8,
澳大利亚,AUS,美食佳饮,8,
澳大利亚,AUS,生成式 AI,8,-0.5223
澳大利亚,AUS,图形与设计,8,
澳大利亚,AUS,健康与健身,8,0.0933
澳大利亚,AUS,生活方式,8,
澳大利亚,AUS,医疗,8,
澳大利亚,AUS,音乐,8,
澳大利亚,AUS,新闻与杂志,8,
澳大利亚,AUS,照片和视频,8,-0.6095
澳大利亚,AUS,生产力工具,8,
澳大利亚,AUS,房地产,8,
澳大利亚,AUS,真金游戏,8,
澳大利亚,AUS,购物,8,-0.0145
澳大利亚,AUS,社交,8,
澳大利亚,AUS,社交媒体,8,0.0598
澳大利亚,AUS,体育,8,0.5952
澳大利亚,AUS,工具,8,
澳大利亚,AUS,旅游,8,1.0799
