Country,Country code,Category,hour_of_day,value
Australia,AUS,Art & Design,9,
Australia,AUS,Automotive,9,
Australia,AUS,Books & Reference,9,0.1504
Australia,AUS,Business,9,
Australia,AUS,Education,9,0.0171
Australia,AUS,Entertainment,9,0.7076
Australia,AUS,Family & Relationships,9,
Australia,AUS,Finance,9,
Australia,AUS,Food & Drink,9,
Australia,AUS,Generative AI,9,-0.429
Australia,AUS,Graphic & Design,9,
Australia,AUS,Health & Fitness,9,0.2493
Australia,AUS,Lifestyle,9,
Australia,AUS,Medical,9,
Australia,AUS,Music,9,
Australia,AUS,News & Magazines,9,
Australia,AUS,Photo & Video,9,-0.348
Australia,AUS,Productivity,9,
Australia,AUS,Real Estate,9,
Australia,AUS,RMG,9,
Australia,AUS,Shopping,9,0.2855
Australia,AUS,Social,9,
Australia,AUS,Social Media,9,0.1599
Australia,AUS,Sports,9,0.069
Australia,AUS,Tools,9,
Australia,AUS,Travel,9,1.1183
Australia,AUS,Travel & Navigation,9,
Australia,AUS,Utility & Productivity,9,0.8294
Australia,AUS,Weather,9,
Australia,AUS,Art & Design,10,
Australia,AUS,Automotive,10,
Australia,AUS,Books & Reference,10,0.0353
Australia,AUS,Business,10,
Australia,AUS,Education,10,-0.1122
Australia,AUS,Entertainment,10,0.6693
Australia,AUS,Family & Relationships,10,
Australia,AUS,Finance,10,
Australia,AUS,Food & Drink,10,
Australia,AUS,Generative AI,10,-0.2611
Australia,AUS,Graphic & Design,10,
Australia,AUS,Health & Fitness,10,0.2158
Australia,AUS,Lifestyle,10,
Australia,AUS,Medical,10,
Australia,AUS,Music,10,
Australia,AUS,News & Magazines,10,
Australia,AUS,Photo & Video,10,-0.0752
Australia,AUS,Productivity,10,
Australia,AUS,Real Estate,10,
Australia,AUS,RMG,10,
Australia,AUS,Shopping,10,0.4646
Australia,AUS,Social,10,
Australia,AUS,Social Media,10,0.2344
Australia,AUS,Sports,10,-0.0141
Australia,AUS,Tools,10,
Australia,AUS,Travel,10,1.2206
Australia,AUS,Travel & Navigation,10,
Australia,AUS,Utility & Productivity,10,0.5387
Australia,AUS,Weather,10,
Australia,AUS,Art & Design,11,
Australia,AUS,Automotive,11,
Australia,AUS,Books & Reference,11,0.0601
Australia,AUS,Business,11,
Australia,AUS,Education,11,-0.1822
Australia,AUS,Entertainment,11,0.5169
Australia,AUS,Family & Relationships,11,
Australia,AUS,Finance,11,
Australia,AUS,Food & Drink,11,
Australia,AUS,Generative AI,11,-0.1511
Australia,AUS,Graphic & Design,11,
Australia,AUS,Health & Fitness,11,0.2896
Australia,AUS,Lifestyle,11,
