Country,Country code,Genre,Demographics (Age),%
Japan,JPN,Finance,55+,0.123
Japan,JPN,Entertainment,18-24,0.302
Japan,JPN,Entertainment,25-34,0.33
Japan,JPN,Entertainment,35-44,0.195
Japan,JPN,Entertainment,45-54,0.088
Japan,JPN,Entertainment,55+,0.084
Japan,JPN,Social,18-24,0.285
Japan,JPN,Social,25-34,0.336
Japan,JPN,Social,35-44,0.195
Japan,JPN,Social,45-54,0.1
Japan,JPN,Social,55+,0.084
South Korea,KOR,RMG,18-24,0.072
South Korea,KOR,RMG,25-34,0.243
South Korea,KOR,RMG,35-44,0.304
South Korea,KOR,RMG,45-54,0.177
South Korea,KOR,RMG,55+,0.204
South Korea,KOR,E-Commerce,18-24,0.069
South Korea,KOR,E-Commerce,25-34,0.172
South Korea,KOR,E-Commerce,35-44,0.398
South Korea,KOR,E-Commerce,45-54,0.267
South Korea,KOR,E-Commerce,55+,0.094
South Korea,KOR,On Demand,18-24,0.138
South Korea,KOR,On Demand,25-34,0.372
South Korea,KOR,On Demand,35-44,0.289
South Korea,KOR,On Demand,45-54,0.175
South Korea,KOR,On Demand,55+,0.025
South Korea,KOR,Travel,18-24,0.019
South Korea,KOR,Travel,25-34,0.19
South Korea,KOR,Travel,35-44,0.552
South Korea,KOR,Travel,45-54,0.192
South Korea,KOR,Travel,55+,0.047
South Korea,KOR,Finance,18-24,0.115
South Korea,KOR,Finance,25-34,0.286
South Korea,KOR,Finance,35-44,0.256
South Korea,KOR,Finance,45-54,0.219
South Korea,KOR,Finance,55+,0.123
South Korea,KOR,Entertainment,18-24,0.26
South Korea,KOR,Entertainment,25-34,0.4
South Korea,KOR,Entertainment,35-44,0.189
South Korea,KOR,Entertainment,45-54,0.087
South Korea,KOR,Entertainment,55+,0.064
South Korea,KOR,Social,18-24,0.215
South Korea,KOR,Social,25-34,0.338
South Korea,KOR,Social,35-44,0.223
South Korea,KOR,Social,45-54,0.133
South Korea,KOR,Social,55+,0.09
Mexico,MEX,RMG,18-24,0.218
Mexico,MEX,RMG,25-34,0.446
Mexico,MEX,RMG,35-44,0.226
Mexico,MEX,RMG,45-54,0.088
Mexico,MEX,RMG,55+,0.022
Mexico,MEX,E-Commerce,18-24,0.158
Mexico,MEX,E-Commerce,25-34,0.39
Mexico,MEX,E-Commerce,35-44,0.292
Mexico,MEX,E-Commerce,45-54,0.128
Mexico,MEX,E-Commerce,55+,0.032
Mexico,MEX,On Demand,18-24,0.26
Mexico,MEX,On Demand,25-34,0.415
Mexico,MEX,On Demand,35-44,0.219
Mexico,MEX,On Demand,45-54,0.098
Mexico,MEX,On Demand,55+,0.008
Mexico,MEX,Travel,18-24,0.048
Mexico,MEX,Travel,25-34,0.402
Mexico,MEX,Travel,35-44,0.362
Mexico,MEX,Travel,45-54,0.137
Mexico,MEX,Travel,55+,0.051
Mexico,MEX,Finance,18-24,0.233
Mexico,MEX,Finance,25-34,0.456
Mexico,MEX,Finance,35-44,0.211
Mexico,MEX,Finance,45-54,0.075
Mexico,MEX,Finance,55+,0.026
Mexico,MEX,Entertainment,18-24,0.45
Mexico,MEX,Entertainment,25-34,0.332
Mexico,MEX,Entertainment,35-44,0.11
Mexico,MEX,Entertainment,45-54,0.075
Mexico,MEX,Entertainment,55+,0.033
Mexico,MEX,Social,18-24,0.394
Mexico,MEX,Social,25-34,0.39
Mexico,MEX,Social,35-44,0.141
Mexico,MEX,Social,45-54,0.054
Mexico,MEX,Social,55+,0.022
U.S.,USA,RMG,18-24,0.135
U.S.,USA,RMG,25-34,0.352
U.S.,USA,RMG,35-44,0.281
U.S.,USA,RMG,45-54,0.13
U.S.,USA,RMG,55+,0.102
