Country,Country code,Category,Value
フランス,FRA,ソーシャルメディア,350926697.5
フランス,FRA,ゲーム,464404623.8
フランス,FRA,ユーティリティ & 生産性,2218548.504
フランス,FRA,その他,80578158.5
フランス,FRA,ショッピング,32823130.36
フランス,FRA,ファイナンス,25238230.58
フランス,FRA,書籍・参考書,-20065266.9
フランス,FRA,教育,37969433.97
フランス,FRA,ニュース,-14000030.68
フランス,FRA,スポーツ,-30037655.62
フランス,FRA,生成AI,109510784.1
フランス,FRA,健康・フィットネス,18139442.45
イギリス,GBR,エンターテインメント,-158190569
韓国,KOR,エンターテインメント,-777549657
イギリス,GBR,ゲーム,358729857.7
イギリス,GBR,ユーティリティ & 生産性,68615012.08
イギリス,GBR,その他,57500530.32
イギリス,GBR,ショッピング,80686627.77
アメリカ合衆国,USA,エンターテインメント,-2976252589
イギリス,GBR,書籍・参考書,-7169570.498
イギリス,GBR,教育,2934560.161
イギリス,GBR,ニュース,-12954451.13
イギリス,GBR,スポーツ,-14033719.76
イギリス,GBR,生成AI,214636856.7
イギリス,GBR,健康・フィットネス,4232696.176
インドネシア,IDN,エンターテインメント,3280783320
インドネシア,IDN,ソーシャルメディア,3353111684
インドネシア,IDN,ゲーム,1503209541
インドネシア,IDN,ユーティリティ & 生産性,430418756
インドネシア,IDN,その他,-238173501.2
インドネシア,IDN,ショッピング,540657864
インドネシア,IDN,ファイナンス,221139219.7
インドネシア,IDN,書籍・参考書,-226216259.8
インドネシア,IDN,教育,14345304.57
インドネシア,IDN,ニュース,-4028938.334
インドネシア,IDN,スポーツ,2102443.177
インドネシア,IDN,生成AI,304496783.6
インドネシア,IDN,健康・フィットネス,3115934.938
インド,IND,エンターテインメント,67537661290
インド,IND,ソーシャルメディア,49554321842
インド,IND,ゲーム,5282413263
インド,IND,ユーティリティ & 生産性,1113788350
インド,IND,その他,2651743981
インド,IND,ショッピング,642418157.3
インド,IND,ファイナンス,1380812695
インド,IND,書籍・参考書,63732557.49
インド,IND,教育,641844849.1
インド,IND,ニュース,428268406.9
インド,IND,スポーツ,-133211856
インド,IND,生成AI,317593417.8
インド,IND,健康・フィットネス,55437127.52
日本,JPN,エンターテインメント,-986857460.4
日本,JPN,ソーシャルメディア,-186037722.1
日本,JPN,ゲーム,681642164.8
日本,JPN,ユーティリティ & 生産性,87785412.83
日本,JPN,その他,39081585.45
日本,JPN,ショッピング,53726251.47
日本,JPN,ファイナンス,60384960.46
日本,JPN,書籍・参考書,-155897689.5
日本,JPN,教育,6795022.014
日本,JPN,ニュース,-100190911.7
日本,JPN,スポーツ,13767731.58
日本,JPN,生成AI,38204222.08
日本,JPN,健康・フィットネス,8223019.553
イギリス,GBR,ファイナンス,12698308.12
韓国,KOR,ファイナンス,155599767.9
韓国,KOR,ゲーム,-82102875.17
韓国,KOR,ユーティリティ & 生産性,-11393636.01
韓国,KOR,その他,-40827465.92
韓国,KOR,ショッピング,40414245.41
アメリカ合衆国,USA,ファイナンス,55610925.39
韓国,KOR,書籍・参考書,-86580640.26
韓国,KOR,教育,16111045.05
韓国,KOR,ニュース,777399.0381
韓国,KOR,スポーツ,-8236893.126
韓国,KOR,生成AI,30548418.07
韓国,KOR,健康・フィットネス,2073697.093
メキシコ,MEX,エンターテインメント,435399634.7
メキシコ,MEX,ソーシャルメディア,2315994847
メキシコ,MEX,ゲーム,1225588340
メキシコ,MEX,ユーティリティ & 生産性,45597557.43
メキシコ,MEX,その他,230411793.1
メキシコ,MEX,ショッピング,159743696.8
メキシコ,MEX,ファイナンス,71177033.25
メキシコ,MEX,書籍・参考書,-69951879.35
メキシコ,MEX,教育,12055069.8
メキシコ,MEX,ニュース,5787794.877
メキシコ,MEX,スポーツ,5950683.896
メキシコ,MEX,生成AI,299491146.6
メキシコ,MEX,健康・フィットネス,17061915.26
フィリピン,PHL,エンターテインメント,3902068490
フィリピン,PHL,ソーシャルメディア,-460890386.1
フィリピン,PHL,ゲーム,2438159057
フィリピン,PHL,ユーティリティ & 生産性,276915364.3
フィリピン,PHL,その他,177750430.3
フィリピン,PHL,ショッピング,140521103.1
フィリピン,PHL,ファイナンス,108303259.3
フィリピン,PHL,書籍・参考書,-39657682.33
フィリピン,PHL,教育,-9061226.522
フィリピン,PHL,ニュース,-3039811.374
フィリピン,PHL,スポーツ,228493.8214
フィリピン,PHL,生成AI,305351663.6
フィリピン,PHL,健康・フィットネス,9582627.006
タイ,THA,エンターテインメント,-252904470.8
タイ,THA,ソーシャルメディア,171363075.6
タイ,THA,ゲーム,-101333083.3
タイ,THA,ユーティリティ & 生産性,183792655.6
タイ,THA,その他,45433699.53
タイ,THA,ショッピング,104047410.3
タイ,THA,ファイナンス,22674964.77
タイ,THA,書籍・参考書,-37479407.02
タイ,THA,教育,-2992422.394
タイ,THA,ニュース,-2674082.738
タイ,THA,スポーツ,-4857146.275
タイ,THA,生成AI,31043414.99
タイ,THA,健康・フィットネス,-1225558.337
イギリス,GBR,ソーシャルメディア,-353868704.4
韓国,KOR,ソーシャルメディア,-590354881.3
アメリカ合衆国,USA,ゲーム,1203663355
アメリカ合衆国,USA,ユーティリティ & 生産性,-155943312.9
アメリカ合衆国,USA,その他,120614753.7
アメリカ合衆国,USA,ショッピング,-142631940.6
アメリカ合衆国,USA,ソーシャルメディア,-2397753747
アメリカ合衆国,USA,書籍・参考書,-93224166.18
アメリカ合衆国,USA,教育,-21464635.52
アメリカ合衆国,USA,ニュース,-78246856.27
アメリカ合衆国,USA,スポーツ,-10114652.31
アメリカ合衆国,USA,生成AI,1280289928
アメリカ合衆国,USA,健康・フィットネス,56317953.46
ベトナム,VNM,エンターテインメント,2322436334
ベトナム,VNM,ソーシャルメディア,-1345338887
ベトナム,VNM,ゲーム,637938272.4
ベトナム,VNM,ユーティリティ & 生産性,45603778.26
ベトナム,VNM,その他,55833695.44
ベトナム,VNM,ショッピング,265286837
ベトナム,VNM,ファイナンス,58884300.32
ベトナム,VNM,書籍・参考書,-61866096.6
ベトナム,VNM,教育,-32163325.61
ベトナム,VNM,ニュース,-13837810.77
ベトナム,VNM,スポーツ,2214689.199
ベトナム,VNM,生成AI,55169550.35
ベトナム,VNM,健康・フィットネス,-7985370.121
