Country,Country code,year,category,category2,revenue
All countries,All countries,2024,Weather,Non-Gaming,259032002.4
All countries,All countries,2021,Navigation,Non-Gaming,254553628.5
All countries,All countries,2015,Lifestyle,Non-Gaming,250986675
All countries,All countries,2014,Education,Non-Gaming,249096908.7
All countries,All countries,2016,Books,Non-Gaming,248804020.6
All countries,All countries,2023,Photography,Non-Gaming,245478018.3
All countries,All countries,2015,Communication,Non-Gaming,230181706.3
All countries,All countries,2016,Photo & Video,Non-Gaming,227067183.3
All countries,All countries,2019,News,Non-Gaming,225652411.1
All countries,All countries,2015,Productivity,Non-Gaming,223404298
All countries,All countries,2023,Weather,Non-Gaming,221582636.2
All countries,All countries,2019,Comics,Non-Gaming,216982130.6
All countries,All countries,2022,Video Players & Editors,Non-Gaming,211318753.3
All countries,All countries,2020,Tools,Non-Gaming,211060322.2
All countries,All countries,2023,Reference,Non-Gaming,206860931.2
All countries,All countries,2014,Productivity,Non-Gaming,206010630.3
All countries,All countries,2017,Business,Non-Gaming,204727752.3
All countries,All countries,2020,Finance,Non-Gaming,203454784.8
All countries,All countries,2023,Shopping,Non-Gaming,202800310.1
All countries,All countries,2017,Sports,Non-Gaming,199381656.8
All countries,All countries,2017,Utilities,Non-Gaming,196736359.6
All countries,All countries,2017,Music & Audio,Non-Gaming,191384703.7
All countries,All countries,2014,News,Non-Gaming,190368564.7
All countries,All countries,2022,Photography,Non-Gaming,187493164
All countries,All countries,2014,Lifestyle,Non-Gaming,187297278.7
All countries,All countries,2022,Weather,Non-Gaming,186826231.5
All countries,All countries,2020,Navigation,Non-Gaming,183790146.9
All countries,All countries,2021,Photography,Non-Gaming,181556795.1
All countries,All countries,2020,Graphics & Design,Non-Gaming,179534918.5
All countries,All countries,2018,News,Non-Gaming,175254809.1
All countries,All countries,2024,News & Magazines,Non-Gaming,175138588.9
All countries,All countries,2020,Books & Reference,Non-Gaming,170844251.6
All countries,All countries,2014,Communication,Non-Gaming,169494655.4
All countries,All countries,2019,Tools,Non-Gaming,168366814.8
All countries,All countries,2021,Weather,Non-Gaming,166564133.5
All countries,All countries,2024,Medical,Non-Gaming,163755212.8
All countries,All countries,2016,Social,Non-Gaming,159220353.8
All countries,All countries,2015,Health & Fitness,Non-Gaming,156948859.5
All countries,All countries,2022,Reference,Non-Gaming,156905070.7
All countries,All countries,2015,Books,Non-Gaming,156472979.8
All countries,All countries,2021,Reference,Non-Gaming,153755977.4
All countries,All countries,2016,Business,Non-Gaming,153739822.9
All countries,All countries,2015,News,Non-Gaming,150911883.5
All countries,All countries,2019,Finance,Non-Gaming,148846425.9
All countries,All countries,2017,News,Non-Gaming,145568810.6
All countries,All countries,2020,Photography,Non-Gaming,145520152.5
All countries,All countries,2023,Medical,Non-Gaming,142030276.8
All countries,All countries,2016,News,Non-Gaming,140806309
All countries,All countries,2024,Travel,Non-Gaming,140186026.8
All countries,All countries,2014,Books,Non-Gaming,139638254.4
All countries,All countries,2024,Maps & Navigation,Non-Gaming,138543364.8
All countries,All countries,2015,Photo & Video,Non-Gaming,138248351.4
All countries,All countries,2019,Navigation,Non-Gaming,136765298.1
All countries,All countries,2024,Art & Design,Non-Gaming,136312176.9
All countries,All countries,2016,Sports,Non-Gaming,135992761.1
All countries,All countries,2021,Video Players & Editors,Non-Gaming,133700800.1
All countries,All countries,2024,Food & Drink,Non-Gaming,133690892.3
All countries,All countries,2022,Shopping,Non-Gaming,132222743.1
All countries,All countries,2021,Shopping,Non-Gaming,130331667.5
All countries,All countries,2014,Health & Fitness,Non-Gaming,129060467.8
All countries,All countries,2023,News & Magazines,Non-Gaming,128360246.2
All countries,All countries,2014,Navigation,Non-Gaming,128052749.9
All countries,All countries,2020,Weather,Non-Gaming,126990224.5
All countries,All countries,2014,Photo & Video,Non-Gaming,126720242.2
All countries,All countries,2022,Medical,Non-Gaming,125916265.8
All countries,All countries,2018,Comics,Non-Gaming,125620445.1
All countries,All countries,2015,Sports,Non-Gaming,125381329.1
All countries,All countries,2015,Navigation,Non-Gaming,124689287.3
All countries,All countries,2016,Utilities,Non-Gaming,124180844.5
All countries,All countries,2018,Tools,Non-Gaming,123697892.2
All countries,All countries,2018,Finance,Non-Gaming,123202778.7
All countries,All countries,2014,Sports,Non-Gaming,122523831.6
All countries,All countries,2023,Travel,Non-Gaming,121615477.8
All countries,All countries,2021,Medical,Non-Gaming,117213673.5
All countries,All countries,2023,Art & Design,Non-Gaming,114605956
All countries,All countries,2020,Reference,Non-Gaming,113476905.4
All countries,All countries,2016,Dating,Non-Gaming,112136147.8
All countries,All countries,2015,Social,Non-Gaming,111227533.6
All countries,All countries,2021,Food & Drink,Non-Gaming,108188089.4
All countries,All countries,2015,Business,Non-Gaming,107967733
All countries,All countries,2023,Maps & Navigation,Non-Gaming,107902450.9
All countries,All countries,2018,Navigation,Non-Gaming,107460620.9
All countries,All countries,2018,Reference,Non-Gaming,106644246
All countries,All countries,2023,Food & Drink,Non-Gaming,104761536.5
All countries,All countries,2022,Travel,Non-Gaming,100317686.7
All countries,All countries,2022,Food & Drink,Non-Gaming,100080679.7
All countries,All countries,2020,Video Players & Editors,Non-Gaming,99679182.6
All countries,All countries,2020,Shopping,Non-Gaming,98897669.1
All countries,All countries,2015,Utilities,Non-Gaming,96865453.99
All countries,All countries,2022,News & Magazines,Non-Gaming,96553662.47
All countries,All countries,2021,News & Magazines,Non-Gaming,95331691.34
All countries,All countries,2019,Photography,Non-Gaming,94693030.7
All countries,All countries,2019,Weather,Non-Gaming,93538800.46
All countries,All countries,2020,Medical,Non-Gaming,92297024.47
All countries,All countries,2019,Reference,Non-Gaming,90334748.77
All countries,All countries,2016,Music & Audio,Non-Gaming,90078127.4
All countries,All countries,2016,Navigation,Non-Gaming,89866425.77
All countries,All countries,2021,Maps & Navigation,Non-Gaming,89542188.46
All countries,All countries,2017,Navigation,Non-Gaming,88877765.06
All countries,All countries,2014,Business,Non-Gaming,88844088.65
All countries,All countries,2022,Maps & Navigation,Non-Gaming,87904910.71
All countries,All countries,2020,Food & Drink,Non-Gaming,87777980.89
All countries,All countries,2017,Reference,Non-Gaming,84981865.99
All countries,All countries,2017,Finance,Non-Gaming,84621079.43
All countries,All countries,2019,Graphics & Design,Non-Gaming,83196456.81
All countries,All countries,2017,Tools,Non-Gaming,83167459.89
All countries,All countries,2014,Social,Non-Gaming,80283185.78
All countries,All countries,2018,Weather,Non-Gaming,78100002.4
All countries,All countries,2014,Utilities,Non-Gaming,77885826.35
All countries,All countries,2015,Reference,Non-Gaming,76776202.63
All countries,All countries,2021,Travel,Non-Gaming,74848296.4
All countries,All countries,2020,Maps & Navigation,Non-Gaming,74515544.28
All countries,All countries,2020,News & Magazines,Non-Gaming,73129608.5
All countries,All countries,2017,Comics,Non-Gaming,71514410.8
All countries,All countries,2019,Medical,Non-Gaming,71228675.94
All countries,All countries,2019,Books & Reference,Non-Gaming,71146272.22
All countries,All countries,2016,Tools,Non-Gaming,70521903.5
All countries,All countries,2019,Shopping,Non-Gaming,70077872.45
All countries,All countries,2019,Maps & Navigation,Non-Gaming,67889184.15
All countries,All countries,2016,Reference,Non-Gaming,66126045.16
All countries,All countries,2015,Music & Audio,Non-Gaming,64219245.42
All countries,All countries,2024,Parenting,Non-Gaming,63865484.66
All countries,All countries,2016,Finance,Non-Gaming,63287936.58
All countries,All countries,2022,Art & Design,Non-Gaming,63178245.08
All countries,All countries,2018,Medical,Non-Gaming,62156377.99
All countries,All countries,2014,Reference,Non-Gaming,61537986.15
All countries,All countries,2019,Video Players & Editors,Non-Gaming,61417029.57
All countries,All countries,2019,Food & Drink,Non-Gaming,60254390.37
All countries,All countries,2019,Travel,Non-Gaming,59167418.36
All countries,All countries,2015,Tools,Non-Gaming,59006717.96
